rndrng_prvdr_state_abrvtn,row_count,total_beneficiaries,total_services,estimated_submitted_charges,estimated_medicare_allowed,estimated_medicare_payment,estimated_standardized_payment,avg_payment_per_service,charge_to_payment_ratio,allowed_to_payment_ratio
SC,181952,14731311,50610844.4,6685147910.829166,2196775111.9600716,1707999820.5897384,1782331421.2999232,33.747704485834234,3.9140214362088854,1.2861682334378517
IN,199432,14010087,40270321.0,6091678498.100623,1989381935.3303723,1548235164.9099066,1615700665.4602807,38.44605969020974,3.9345951029700994,1.2849352478349996
WA,196889,14457096,37972922.2,5612872588.6615505,1954452077.569978,1523959933.070077,1484823275.240099,40.13280634667818,3.683084093526133,1.2824825870800014
MO,187275,12792812,39779098.4,5676715501.449286,1796608600.8504143,1393367760.960103,1427245674.1901164,35.027635542390854,4.0740970621695265,1.2894001506195731
CO,152650,11511541,37843571.6,5372616300.420466,1714521977.6210701,1364093318.3609536,1355013074.0111167,36.04557552810247,3.9385987953346278,1.2568949312655378
AL,158402,14342626,47020132.4,5395091232.150763,1669682544.5600524,1322387435.660089,1384351138.959707,28.123856062559472,4.079811322056099,1.2626273507556474
WI,168820,11265904,25798991.3,6392253928.079054,1522914284.5457172,1252699727.1361344,1276997830.7588346,48.556151384730086,5.102782246702278,1.215705768554237
OK,114324,10013813,32797140.900000002,4070251341.240588,1385916567.9692988,1091806204.199881,1140090668.9001493,33.28967630223771,3.7279979959661707,1.2693796414034426
LA,132557,9157873,30718748.099999998,4366992783.51959,1353545042.1005278,1056455691.3901516,1097532241.4902864,34.39123521411186,4.133626066014395,1.2812132615987397
MN,198699,10847856,31411017.8,5012894693.550841,1294443106.660278,1013137384.6302756,1011245418.0503187,32.25420427574542,4.947892328916673,1.2776580218019093
KY,134087,9016563,27697168.6,3627942195.669644,1271446335.7602365,988041392.7601506,1031045226.2600877,35.67301073367299,3.671852436804068,1.2868350911983333
KS,102116,10719409,30999508.099999998,3887138514.1590767,1237470833.64023,981835839.3205009,1020812683.4302539,31.672626422110902,3.9590513591857155,1.2603642931761856
MS,100753,8272396,26519047.3,3834243483.3597884,1218446865.449795,952835314.6406245,1009508616.1798291,35.93022418420833,4.024035868995817,1.2787591378362688
NV,73560,6454136,27121409.2,3982411714.7699523,1204969702.95013,950649799.2601577,947094915.0105463,35.051637333806305,4.189146958079895,1.2675221768183158
CT,118791,7462460,20118656.4,3529262559.5363193,1173704721.5798802,915802642.4900513,862909992.3500541,45.52006974432206,3.8537370343683617,1.281613163277841
AR,102500,8170243,30044301.4,3369059880.492015,1163225781.4199197,905310617.7500978,967621627.2799889,30.13252349246163,3.7214408120661315,1.284891349568836
IA,104574,7342932,22407079.7,2804791927.370231,983171524.4604466,764787175.2403246,796104190.1000507,34.13149707502154,3.667414959578606,1.285549177980786
OR,104869,6561373,20691234.9,3224060854.578004,985052477.1398352,761773924.5599574,761834739.7699302,36.816261969939625,4.232306660326289,1.2931034331594584
NE,75272,5220685,19523086.3,2213182882.859914,756286218.1299533,587394350.5498123,612919597.2499235,30.087166625381986,3.767797359283984,1.287527224975955
UT,72368,4291753,13312601.7,2015740152.109649,718262938.3608506,572222147.8007554,585950168.4005958,42.98349493929165,3.5226531511526162,1.2552169487346474
