rndrng_prvdr_type,row_count,total_beneficiaries,total_services,estimated_submitted_charges,estimated_medicare_allowed,estimated_medicare_payment,estimated_standardized_payment,avg_payment_per_service,charge_to_payment_ratio,allowed_to_payment_ratio
Public Health or Welfare Agency,1028,116452,119764.2,7900116.480007065,7184879.720002078,7177095.600002292,6993083.95999482,59.92688633166081,1.1007400375166443,1.0010845780011324
Neuropsychiatry,833,44090,164093.0,24246183.990004618,9193519.159994733,6994835.990006422,6807968.919999053,42.627266184458946,3.466297712290229,1.3143294815103008
Addiction Medicine,737,33136,80389.5,18503913.470007785,7196055.350004219,5598703.949994736,5725061.789996237,69.64471666069245,3.30503517158202,1.2853073522508696
Maxillofacial Surgery,1350,42783,59393.0,18329418.310005065,6804113.990006406,5111991.3099901695,4891356.770002701,86.07060276447005,3.5855730572516005,1.3310104766237347
Home Infusion Therapy Services,64,2065,73864.2,8857605.729970817,3441882.5799897783,2727402.539996795,2633192.919999344,36.924552624908884,3.247634186767761,1.2619635457235525
Certified Nurse Midwife,1061,28366,39195.0,5205555.630002139,2385501.5700044404,1849279.4299998507,1836927.0500000867,47.18151371348005,2.814910253991502,1.2899627451134483
Mammography Center,34,23320,23513.0,8129692.810001439,1834632.419978823,1775270.01997775,1850381.769992046,75.50163824172797,4.579411987199181,1.033438518835471
Slide Preparation Facility,18,22606,46932.0,3905586.9599993187,2020027.7500039241,1553818.4000075818,1302064.050002234,33.10786670092009,2.513541453737619,1.300041079442789
Adult Congenital Heart Disease,449,20276,24258.0,7498261.889984457,1902959.0699984622,1454172.970000306,1347966.7800000892,59.946119630649925,5.156375510117534,1.3086194759885146
Intensive Cardiac Rehabilitation,35,2607,13917.0,2715777.83000046,1610814.579999121,1281116.8700000718,1253279.230003543,92.05409714737888,2.119851743112483,1.2573517824326446
Clinic or Group Practice,246,21598,31340.0,2709571.29999971,1180125.4299987713,993038.8099995505,1029620.9400007374,31.685986279500653,2.7285653619126293,1.1883980949337776
Medical Toxicology,128,6648,6769.0,3569870.0000057938,1023301.8500008535,802313.7100014574,762742.9899992051,118.52765696579367,4.449469023780373,1.275438568785014
Medical Genetics and Genomics,119,4663,6258.0,2341225.119997346,621965.319997925,468323.44000024,473977.89999834896,74.83596037076381,4.999162800811648,1.3280678840196558
Unknown Supplier/Provider Specialty,67,2624,5541.0,752431.2500016349,249932.92999812358,182707.5999995227,184439.25000032148,32.97375924914685,4.118226335432136,1.3679394288950022
Medicare Diabetes Preventive Program,81,1780,1780.0,232078.479999892,178534.589999853,178534.589999853,178534.839999848,100.30033146059156,1.2999076537498033,1.0
Dental Anesthesiology,2,41,41.0,23700.00000008,2076.9900000079997,1939.690000006,1921.6200000119998,47.30951219526829,12.218447277661218,1.0707845068034454
