rndrng_npi,rndrng_prvdr_type,rndrng_prvdr_state_abrvtn,row_count,total_beneficiaries,total_services,estimated_submitted_charges,estimated_medicare_allowed,estimated_medicare_payment,estimated_standardized_payment,avg_payment_per_service,charge_to_payment_ratio,allowed_to_payment_ratio
1275584047,Ophthalmology,GA,17,2976,45287.0,11052212.00006002,3338801.360007748,2630166.960004922,2629769.590012401,58.07774769812357,4.202095216054017,1.2694256337253587
1497723720,Ambulatory Surgical Center,FL,32,2472,7364.0,27893668.630500358,3316188.750009148,2628957.46000263,2853809.50999985,357.0012846282768,10.610163555279609,1.2614082960497315
1821066200,Ambulatory Surgical Center,SC,24,1975,41049.4,12668994.510001455,3311759.189998424,2628658.1099996427,2778487.98999911,64.03645631847586,4.819567239196115,1.2598668413363479
1831551266,Ambulatory Surgical Center,TX,10,813,47625.0,34941201.98001059,3299554.1100028995,2627064.090004068,2645860.7300072033,55.161450708746834,13.3004756575834,1.2559853878546947
1538705207,Ambulance Service Provider,CA,3,10187,79520.0,13834101.999915883,3330456.4800220793,2627041.6400175206,2209333.869979195,33.03623792778572,5.266038341068556,1.267759303579165
1558310474,Independent Diagnostic Testing Facility (IDTF),MA,30,7273,313258.0,15729136.739906121,3349361.0300092595,2626548.6800169507,2596092.9399692477,8.384618046520602,5.988519024823333,1.2751947281584912
1801820394,Radiation Oncology,CA,16,1478,10254.0,6670311.99999098,3301661.159989349,2623925.869979836,1985892.940005024,255.89290715621573,2.542111450748507,1.258290562916978
1548522584,Ambulance Service Provider,NJ,3,305,43630.0,5610820.00000464,3299859.8000190365,2622268.2200238276,3347115.5299935,60.102411643910784,2.1396819582222815,1.2583990359266344
1992932214,Hospitalist,CA,26,1750,287043.0,6704636.069982796,3315929.660006801,2622189.039990916,2583546.459996324,9.135178492389349,2.556885093992317,1.2645654487283986
1225138498,Vascular Surgery,CA,31,1948,3608.0,6216390.630045771,3299001.459983667,2621332.009980712,2264268.539992551,726.5332621897761,2.3714625260657125,1.2585210295463265
1598812802,Oral Surgery (Dentist only),CA,47,4568,7889.0,7121905.239980582,3298576.779997759,2620835.4700079407,2510633.1999936057,332.2139016361948,2.7174179079463556,1.2585974273263956
1801871215,Hematology-Oncology,CO,88,6780,179045.0,13562421.999849668,3261229.9200078817,2620742.8600055,2620353.4900049055,14.637341785615346,5.175029647823291,1.2443914165623398
1578535811,Ophthalmology,OH,22,3279,14247.0,6976923.00008829,3333858.94999313,2619743.8899937966,2665485.259993175,183.8803881514562,2.6632080436323915,1.2725896461585122
1821092297,Clinical Laboratory,WA,5,13618,24393.0,2740552.56003914,2619537.330002817,2619537.330002817,2626908.8899999997,107.3888955849144,1.0461971771313496,1.0
1972920296,Ophthalmology,OH,22,3545,26684.0,6969432.040055568,3328241.4399957885,2619520.1500039874,2645231.16999972,98.16819629755611,2.6605758463224496,1.2705538607865727
